Farm_ID,Soil_pH,Soil_Moisture,Temperature_C,Rainfall_mm,Crop_Type,Fertilizer_Usage_kg,Pesticide_Usage_kg,Crop_Yield_ton,Sustainability_Score
1,7.073642684748378,49.14535876397696,26.66815662497483,227.8909122156477,Wheat,131.6928438033121,2.958214627794372,1.5769199239944838,51.91364942129485
2,6.236931178393061,21.496115385280156,29.32534237075326,244.01749330098983,Soybean,136.3704915665747,19.20477028818854,3.824685657452959,47.15907682234932
3,5.922334984917588,19.469042329438082,17.6664142709232,141.11052082022786,Corn,99.72521025266681,11.041065642810384,1.1331976262416603,50.148418411936426
4,6.845119841700978,27.97423365959013,17.188722198804673,156.78566341441285,Wheat,194.8323963952749,8.806270972850378,8.870540370316064,89.76455694923243
5,6.934170571746167,33.63767886268485,23.603898977397098,77.85936215956802,Corn,57.271266671217695,3.7475534903293206,8.779317423442908,51.03394070553181
6,6.133678815937643,15.940529813652539,30.45137754539481,296.62149867780744,Rice,96.48208665284423,3.268164821621988,2.0437081720414625,23.025533664798893
7,7.406252115902882,41.55515223127636,25.76916060094756,54.34663988150719,Soybean,159.20789472237539,13.671459324872123,6.177211062248057,88.8686978195076
8,7.020796376709596,35.170097718239944,22.719703033371623,292.3587912302416,Soybean,180.44336821033568,18.568839659570642,5.218131637064065,44.01634435130421
9,5.5336152051558765,12.669235566536422,15.348648374565194,183.9309877101921,Wheat,191.52701063844742,3.2366151302764496,7.801282070734073,80.16406770740036
10,6.273581603345996,13.355533914843605,23.034760078295587,199.65149434264012,Soybean,58.52286049384958,13.674733109880757,6.221388077188259,82.92912015630668
11,6.3263800014120735,38.01797505704388,16.22863319042572,260.03819362018976,Corn,147.57687119471325,4.271011156227427,2.27026393857822,45.240223503002206
12,5.947965077106361,31.587704446421114,26.60919748695992,136.1513352034578,Corn,181.77879581583255,17.490503448556804,2.847876691130483,92.39488825023203
13,5.903197473726216,33.81437633099634,15.214501312316829,141.21910991113594,Rice,185.53528867808546,14.818826282921624,9.944867740520532,50.69621138493156
14,6.622815140338888,43.58187368979196,25.849535042154223,146.99057008879302,Corn,66.1782210717138,8.239870534578849,1.9650470520791967,6.43727150619079
